0   4887,00199176
1   4887,00199176
2   4887,00199176
3   4887,00199176
4   4887,00199176
5   4887,00199176
6   4887,00199176
7   4887,00199176
8   4887,00199176
9   4887,00199176
10   4887,00199176
11   4887,00199176
12   4887,00199176
13   4887,00199176
14   4887,00199176
15   1182,29456527
16   1182,29456527
17   1182,29456527
18   1182,29456527
19   1182,29456527
20   1182,29456527
21   878,46743361
22   878,46743361
23   298,113671378
24   298,113671378
25   298,113671378
26   298,113671378
27   298,113671378
28   298,113671378
29   298,113671378
30   298,113671378
31   298,113671378
32   298,113671378
33   298,113671378
34   298,113671378
35   298,113671378
36   298,113671378
37   298,113671378
38   298,113671378
39   291,471585241
40   253,907722708
41   131,610483522
42   131,610483522
43   131,610483522
44   131,610483522
45   131,610483522
46   131,610483522
47   131,610483522
48   131,610483522
49   109,577028526
50   109,577028526
51   109,577028526
52   109,577028526
53   109,577028526
54   109,577028526
55   109,577028526
56   109,577028526
57   74,9826142118
58   55,1746651613
59   55,1746651613
60   55,1746651613
61   55,1746651613
62   55,1746651613
63   55,1746651613
64   55,1746651613
65   55,1746651613
66   55,1746651613
67   51,1706348261
68   41,5306735496
69   41,5306735496
70   41,5306735496
71   41,5306735496
72   41,5306735496
73   41,5306735496
74   41,5306735496
75   41,5306735496
76   41,5306735496
77   41,5306735496
78   41,5306735496
79   41,5306735496
80   41,5306735496
81   41,5306735496
82   41,5306735496
83   41,5306735496
84   41,5306735496
85   41,5306735496
86   41,5306735496
87   41,5306735496
88   41,5306735496
89   41,5306735496
90   41,5306735496
91   41,5306735496
92   41,5306735496
93   41,5306735496
94   41,5306735496
95   40,578267983
96   40,578267983
97   40,578267983
98   40,578267983
99   40,578267983
100   40,0990643241
101   40,0990643241
102   38,7829640982
103   38,7829640982
104   36,4969243873
105   36,4969243873
106   36,4969243873
107   36,4969243873
108   36,4969243873
109   36,4969243873
110   34,479432628
111   34,479432628
112   34,479432628
113   34,479432628
114   34,479432628
115   34,479432628
116   33,9497868753
117   29,0996689646
118   29,0996689646
119   29,0996689646
120   29,0996689646
121   29,0996689646
122   29,0996689646
123   29,0996689646
124   29,0996689646
125   29,0996689646
126   29,0996689646
127   29,0996689646
128   29,0996689646
129   28,8666012151
130   28,5200694402
131   28,5200694402
132   28,5200694402
133   28,5200694402
134   28,5200694402
135   28,5200694402
136   28,5200694402
137   28,5200694402
138   28,5200694402
139   28,5200694402
140   27,1593585238
141   27,1593585238
142   27,1593585238
143   26,9544644984
144   26,9544644984
145   26,9544644984
146   26,9544644984
147   26,2746074124
148   26,2746074124
149   26,2746074124
150   26,2746074124
151   26,2746074124
152   26,2746074124
153   26,2746074124
154   26,2746074124
155   26,2746074124
156   26,2746074124
157   26,2746074124
158   26,2746074124
159   26,2746074124
160   26,2746074124
161   26,2746074124
162   26,2746074124
163   26,2474974545
164   26,2474974545
165   26,2474974545
166   26,1355760387
167   26,1355760387
168   26,1355760387
169   26,1355760387
170   26,1355760387
171   26,0634441324
172   26,0157239935
173   26,0157239935
174   26,0157239935
175   25,9716240574
176   25,9716240574
177   25,9716240574
178   25,9716240574
179   25,9716240574
180   25,9716240574
181   25,9716240574
182   25,9716240574
183   25,9716240574
184   25,9180696385
185   25,8990101384
186   25,8990101384
187   25,8990101384
188   25,8990101384
189   25,8990101384
190   25,8990101384
